127.0.0.1 - - [08/Apr/2017:12:41:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:17 +0530] "GET /PhilosophiaFrontEnd/ HTTP/1.1" 200 8310
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/JQuery/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:18 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:19 +0530] "GET /PhilosophiaFrontEnd/Resources/Images/i4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/Bootstrap/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.eot? HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/FontAwesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2017:12:41:20 +0530] "GET /PhilosophiaFrontEnd/Resources/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 992
